hdi_rank,country,hdi,phdi,pct_diff_hdi,rank_diff_hdi,adj_factor,tco2_per_capita_prod,co2_emissions_index,material_footprint_per_capita,material_footprint_index,iso3c
18,Canada,0.935,0.726,22.3529411764706,-40,0.7761753504649451,14.0787192,0.8162287012139406,37.1593,0.7361219997159495,CAN
19,Korea (Republic of),0.929,0.775,16.576964477933267,-16,0.8347417774644237,11.88642384,0.8448450092677195,24.6944,0.8246385456611277,KOR
20,Luxembourg,0.927,0.685,26.105717367853288,-58,0.7392880326447823,13.18539513,0.8278893730583473,49.1903,0.6506866922312171,LUX
20,United States,0.927,0.74,20.17259978425028,-30,0.7983318386042213,14.93248748,0.8050843560892834,29.3498,0.7915793211191591,USA
22,Austria,0.926,0.789,14.794816414686828,-2,0.8524238217809763,7.399461246999999,0.9034138983553059,27.9621,0.8014337452066469,AUT
22,Slovenia,0.926,0.8319999999999999,10.151187904967609,14,0.8980631447497893,6.16209228,0.9195654316668844,17.3827,0.8765608578326942,SVN
24,Japan,0.92,0.809,12.065217391304351,10,0.8788200797330934,8.523454262999998,0.8887422756428665,18.4618,0.8688978838233204,JPN
25,Israel,0.915,0.78,14.754098360655744,-7,0.8524293417559997,6.162801842,0.9195561696645344,30.2337,0.7853025138474647,ISR
25,Malta,0.915,0.806,11.912568306010929,6,0.880526755315622,3.050225155,0.9601850260409869,28.0417,0.8008684845902572,MLT
27,Spain,0.911,0.8389999999999999,7.903402854006591,23,0.921202407247797,4.849112709,0.9367039197363267,13.2792,0.9057008947592671,ESP
28,France,0.91,0.8229999999999998,9.56043956043957,17,0.9048780960831232,4.753896411,0.9379467900926771,18.0518,0.8718094020735689,FRA
29,Cyprus,0.907,0.803,11.466372657111355,8,0.8857427545558813,5.64978926,0.9262525876517425,21.7943,0.8452329214600198,CYP
30,Italy,0.906,0.8249999999999998,8.940397350993388,20,0.9102018419101197,5.692573044,0.9256941255188617,14.827,0.89470955830137755,ITA
31,Estonia,0.899,0.766,14.794215795328148,-8,0.8519069831610399,7.842170661,0.8976351564939302,27.2939,0.8061788098281495,EST
32,Czechia,0.895,0.782,12.62569832402235,3,0.8739994168859808,9.196792884,0.8799531016316406,18.5818,0.8680457321403211,CZE
33,Greece,0.893,0.809,9.406494960806267,19,0.9064349176693361,5.510223913,0.9280743517425923,16.2231,0.88479548359608,GRC
34,Bahrain,0.888,0.673,24.211711711711704,-54,0.7578629983973446,26.05303892,0.6599263944654745,20.3063,0.8557996023292147,BHR
35,Andorra,0.884,NA,NA,NA,NA,4.593592631,0.9400392555671585,NA,NA,AND
36,Poland,0.881,0.78,11.46424517593644,3,0.8849703020714493,8.642569909,0.8871874440804071,16.5107,0.882753160062491,POL
37,Latvia,0.879,0.782,11.035267349260526,7,0.8899301914437889,3.863827625,0.9495649703041379,23.8978,0.8302954125834399,LVA
37,Lithuania,0.879,0.748,14.903299203640495,-10,0.8510588026029113,4.962838906,0.9352194373319409,32.8254,0.7668981678738814,LTU
